intervention_id,order_id,intervention_type,intervention_at,initiated_by,reason
INT-00293,O00779,RESTAURANT_CONTACT,2026-08-15T20:43:00,support,customer_escalation
INT-00294,O00510,DRIVER_REASSIGNMENT,2026-08-26T19:18:00,dispatch,slow_progress
INT-00295,O01566,RESTAURANT_CONTACT,2026-08-13T18:03:00,support,prep_delay
INT-00296,O00986,DRIVER_REASSIGNMENT,2026-08-26T22:46:00,dispatch,capacity_rebalance
INT-00297,O01360,RESTAURANT_CONTACT,2026-08-15T00:11:00,support,customer_escalation
INT-00298,O00613,PRIORITY_DISPATCH,2026-08-01T19:26:00,operations,vip_customer
INT-00299,O01068,RESTAURANT_CONTACT,2026-08-15T21:28:00,support,status_stale
INT-00300,O00969,PRIORITY_DISPATCH,2026-08-23T17:49:00,operations,late_risk
INT-00301,O01384,PRIORITY_DISPATCH,2026-08-27T11:55:00,operations,late_risk
INT-00302,O01394,CUSTOMER_CREDIT,2026-08-21T21:59:08.693802,support,late_delivery
INT-00303,O00590,DRIVER_REASSIGNMENT,2026-08-03T16:12:00,dispatch,capacity_rebalance
INT-00304,O00468,RESTAURANT_CONTACT,2026-08-25T19:33:00,support,customer_escalation
INT-00305,O00466,PRIORITY_DISPATCH,2026-08-25T23:12:00,operations,manual_ops_review
INT-00306,O00659,DRIVER_REASSIGNMENT,2026-08-27T19:36:00,dispatch,slow_progress
INT-00307,O01248,DRIVER_REASSIGNMENT,2026-08-14T18:31:00,dispatch,slow_progress
INT-00308,O01193,RESTAURANT_CONTACT,2026-08-03T13:25:00,support,prep_delay
INT-00309,O01143,CUSTOMER_CREDIT,2026-08-02T22:28:06,support,service_recovery
INT-00310,O00888,RESTAURANT_CONTACT,2026-08-08T13:14:00,support,customer_escalation
INT-00311,O01025,PRIORITY_DISPATCH,2026-08-18T13:33:00,operations,late_risk
INT-00312,O00940,DRIVER_REASSIGNMENT,2026-08-02T12:33:00,dispatch,driver_unavailable
INT-00313,O00679,RESTAURANT_CONTACT,2026-08-09T12:35:00,support,prep_delay
INT-00314,O01488,PRIORITY_DISPATCH,2026-08-10T13:21:00,operations,manual_ops_review
INT-00315,O00808,PRIORITY_DISPATCH,2026-08-01T17:22:00,operations,manual_ops_review
INT-00316,O00017,DRIVER_REASSIGNMENT,2026-08-24T21:02:00,dispatch,slow_progress
INT-00317,O01462,PRIORITY_DISPATCH,2026-08-12T14:04:00,operations,manual_ops_review
INT-00318,O00139,DRIVER_REASSIGNMENT,2026-08-19T12:11:00,dispatch,capacity_rebalance
INT-00319,O01147,DRIVER_REASSIGNMENT,2026-08-03T18:25:00,dispatch,driver_unavailable
INT-00320,O00975,PRIORITY_DISPATCH,2026-08-21T18:04:00,operations,manual_ops_review
INT-00321,O00271,CUSTOMER_CREDIT,2026-08-10T19:17:03,support,service_recovery
INT-00322,O00288,RESTAURANT_CONTACT,2026-08-09T20:31:00,support,customer_escalation
INT-00323,O00296,DRIVER_REASSIGNMENT,2026-08-13T20:51:00,dispatch,capacity_rebalance
INT-00324,O01446,PRIORITY_DISPATCH,2026-08-01T20:48:00,operations,manual_ops_review
INT-00325,O00223,DRIVER_REASSIGNMENT,2026-08-14T21:34:00,dispatch,driver_unavailable
INT-00326,O00409,DRIVER_REASSIGNMENT,2026-08-15T17:14:00,dispatch,driver_unavailable
INT-00327,O00914,DRIVER_REASSIGNMENT,2026-08-07T22:35:00,dispatch,slow_progress
INT-00328,O00301,CUSTOMER_CREDIT,2026-08-20T21:32:06,support,support_resolution
INT-00329,O00278,PRIORITY_DISPATCH,2026-08-24T15:55:00,operations,manual_ops_review
INT-00330,O00591,PRIORITY_DISPATCH,2026-08-16T23:47:00,operations,manual_ops_review
INT-00331,O00445,CUSTOMER_CREDIT,2026-08-06T23:07:49.650682,support,service_recovery
INT-00332,O00884,DRIVER_REASSIGNMENT,2026-08-19T14:38:00,dispatch,driver_unavailable
INT-00333,O00651,DRIVER_REASSIGNMENT,2026-08-05T15:21:00,dispatch,capacity_rebalance
INT-00334,O00479,DRIVER_REASSIGNMENT,2026-08-13T22:29:00,dispatch,slow_progress
INT-00335,O00550,RESTAURANT_CONTACT,2026-08-26T23:25:00,support,customer_escalation
INT-00336,O00065,DRIVER_REASSIGNMENT,2026-08-21T13:52:00,dispatch,driver_unavailable
INT-00337,O01404,PRIORITY_DISPATCH,2026-08-20T19:24:00,operations,vip_customer
INT-00338,O00750,PRIORITY_DISPATCH,2026-08-09T22:11:00,operations,manual_ops_review
INT-00339,O00198,RESTAURANT_CONTACT,2026-08-19T18:34:00,support,customer_escalation
INT-00340,O00868,CUSTOMER_CREDIT,2026-08-02T12:40:24,support,support_resolution
INT-00341,O00882,DRIVER_REASSIGNMENT,2026-08-26T19:45:00,dispatch,driver_unavailable
INT-00342,O01000,PRIORITY_DISPATCH,2026-08-26T16:20:00,operations,vip_customer
INT-00343,O01060,DRIVER_REASSIGNMENT,2026-08-26T15:22:00,dispatch,capacity_rebalance
INT-00344,O00571,RESTAURANT_CONTACT,2026-08-10T22:04:00,support,customer_escalation
INT-00345,O00772,PRIORITY_DISPATCH,2026-08-10T19:13:00,operations,late_risk
INT-00346,O01397,PRIORITY_DISPATCH,2026-08-18T20:23:00,operations,late_risk
INT-00347,O01456,CUSTOMER_CREDIT,2026-08-18T23:37:36,support,late_delivery
INT-00348,O01266,RESTAURANT_CONTACT,2026-08-26T18:41:00,support,status_stale
INT-00349,O01282,RESTAURANT_CONTACT,2026-08-23T21:05:00,support,customer_escalation
INT-00350,O00967,RESTAURANT_CONTACT,2026-08-19T22:13:00,support,status_stale
INT-00351,O01272,DRIVER_REASSIGNMENT,2026-08-22T19:14:00,dispatch,driver_unavailable
INT-00352,O00171,DRIVER_REASSIGNMENT,2026-08-17T18:39:00,dispatch,driver_unavailable
INT-00353,O01313,CUSTOMER_CREDIT,2026-08-28T22:21:36,support,service_recovery
INT-00354,O00478,RESTAURANT_CONTACT,2026-08-11T20:58:00,support,status_stale
INT-00355,O01600,DRIVER_REASSIGNMENT,2026-08-27T18:24:00,dispatch,driver_unavailable
INT-00356,O00197,DRIVER_REASSIGNMENT,2026-08-24T18:51:00,dispatch,driver_unavailable
INT-00357,O01141,DRIVER_REASSIGNMENT,2026-08-16T19:46:00,dispatch,slow_progress
INT-00358,O01201,RESTAURANT_CONTACT,2026-08-26T15:28:00,support,status_stale
INT-00359,O01002,RESTAURANT_CONTACT,2026-08-03T19:01:00,support,status_stale
INT-00360,O01238,DRIVER_REASSIGNMENT,2026-08-26T18:43:00,dispatch,slow_progress
INT-00361,O00563,CUSTOMER_CREDIT,2026-08-21T14:23:06,support,late_delivery
INT-00362,O00896,DRIVER_REASSIGNMENT,2026-08-14T12:45:00,dispatch,slow_progress
INT-00363,O00958,DRIVER_REASSIGNMENT,2026-08-28T22:32:00,dispatch,slow_progress
INT-00364,O00985,DRIVER_REASSIGNMENT,2026-08-26T20:23:00,dispatch,slow_progress
INT-00365,O00812,RESTAURANT_CONTACT,2026-08-05T16:35:00,support,status_stale
INT-00366,O00488,PRIORITY_DISPATCH,2026-08-13T18:50:00,operations,late_risk
INT-00367,O01210,PRIORITY_DISPATCH,2026-08-26T13:43:00,operations,late_risk
INT-00368,O00928,CUSTOMER_CREDIT,2026-08-17T20:37:24,support,support_resolution
INT-00369,O01536,CUSTOMER_CREDIT,2026-08-06T14:29:36,support,service_recovery
INT-00370,O00459,RESTAURANT_CONTACT,2026-08-15T16:18:00,support,prep_delay
INT-00371,O00556,DRIVER_REASSIGNMENT,2026-08-04T12:43:00,dispatch,driver_unavailable
INT-00372,O00185,DRIVER_REASSIGNMENT,2026-08-27T17:48:00,dispatch,slow_progress
INT-00373,O01500,CUSTOMER_CREDIT,2026-08-08T17:34:43.684835,support,service_recovery
INT-00374,O00385,RESTAURANT_CONTACT,2026-08-22T22:09:00,support,status_stale
INT-00375,O00087,CUSTOMER_CREDIT,2026-08-06T21:02:48,support,support_resolution
INT-00376,O01288,DRIVER_REASSIGNMENT,2026-08-27T22:00:00,dispatch,slow_progress
INT-00377,O01277,CUSTOMER_CREDIT,2026-08-20T19:29:48,support,late_delivery
INT-00378,O01412,RESTAURANT_CONTACT,2026-08-21T18:55:00,support,prep_delay
INT-00379,O00126,PRIORITY_DISPATCH,2026-08-03T20:58:00,operations,vip_customer
INT-00380,O00745,DRIVER_REASSIGNMENT,2026-08-25T19:55:00,dispatch,capacity_rebalance
INT-00381,O00899,RESTAURANT_CONTACT,2026-08-14T16:12:00,support,status_stale
INT-00382,O00552,PRIORITY_DISPATCH,2026-08-23T14:08:00,operations,manual_ops_review
INT-00383,O01345,DRIVER_REASSIGNMENT,2026-08-02T19:24:00,dispatch,driver_unavailable
INT-00384,O00226,DRIVER_REASSIGNMENT,2026-08-05T21:11:00,dispatch,slow_progress
INT-00385,O01577,DRIVER_REASSIGNMENT,2026-08-23T18:50:00,dispatch,capacity_rebalance
INT-00386,O00603,PRIORITY_DISPATCH,2026-08-15T19:51:00,operations,vip_customer
INT-00387,O01157,DRIVER_REASSIGNMENT,2026-08-18T12:44:00,dispatch,driver_unavailable
INT-00388,O01271,RESTAURANT_CONTACT,2026-08-21T19:21:00,support,customer_escalation
INT-00389,O01318,CUSTOMER_CREDIT,2026-08-11T15:19:48,support,late_delivery
INT-00390,O00024,CUSTOMER_CREDIT,2026-08-16T16:07:04.387462,support,support_resolution
INT-00391,O01475,DRIVER_REASSIGNMENT,2026-08-27T12:14:00,dispatch,slow_progress
INT-00392,O01160,CUSTOMER_CREDIT,2026-08-18T00:12:48,support,support_resolution
INT-00393,O00324,CUSTOMER_CREDIT,2026-08-22T19:09:56.818878,support,support_resolution
INT-00394,O00889,DRIVER_REASSIGNMENT,2026-08-13T21:01:00,dispatch,capacity_rebalance
INT-00395,O00821,DRIVER_REASSIGNMENT,2026-08-28T11:44:00,dispatch,driver_unavailable
INT-00396,O01189,DRIVER_REASSIGNMENT,2026-08-18T19:44:00,dispatch,capacity_rebalance
INT-00397,O00862,DRIVER_REASSIGNMENT,2026-08-09T18:41:00,dispatch,capacity_rebalance
INT-00398,O01550,DRIVER_REASSIGNMENT,2026-08-14T12:50:00,dispatch,driver_unavailable
INT-00399,O00416,RESTAURANT_CONTACT,2026-08-24T00:13:00,support,status_stale
INT-00400,O00243,DRIVER_REASSIGNMENT,2026-08-18T20:50:00,dispatch,capacity_rebalance
INT-00401,O00220,PRIORITY_DISPATCH,2026-08-08T21:55:00,operations,late_risk
INT-00402,O01200,DRIVER_REASSIGNMENT,2026-08-13T23:04:00,dispatch,slow_progress
INT-00403,O00371,DRIVER_REASSIGNMENT,2026-08-04T21:09:00,dispatch,slow_progress
INT-00404,O00714,RESTAURANT_CONTACT,2026-08-23T19:26:00,support,prep_delay
INT-00405,O00777,DRIVER_REASSIGNMENT,2026-08-04T13:23:00,dispatch,capacity_rebalance
INT-00406,O00673,DRIVER_REASSIGNMENT,2026-08-27T12:13:00,dispatch,driver_unavailable
INT-00407,O01348,RESTAURANT_CONTACT,2026-08-04T21:10:00,support,prep_delay
INT-00408,O00683,CUSTOMER_CREDIT,2026-08-10T13:21:48,support,late_delivery
INT-00409,O00858,PRIORITY_DISPATCH,2026-08-02T19:08:00,operations,late_risk
INT-00410,O01184,DRIVER_REASSIGNMENT,2026-08-04T22:20:00,dispatch,slow_progress
INT-00411,O00011,DRIVER_REASSIGNMENT,2026-08-13T20:09:00,dispatch,capacity_rebalance
INT-00412,O00618,RESTAURANT_CONTACT,2026-08-26T20:20:00,support,prep_delay
INT-00413,O00429,DRIVER_REASSIGNMENT,2026-08-12T15:52:00,dispatch,slow_progress
INT-00414,O01077,PRIORITY_DISPATCH,2026-08-19T21:43:00,operations,late_risk
INT-00415,O01588,PRIORITY_DISPATCH,2026-08-20T18:29:00,operations,manual_ops_review
INT-00416,O01378,PRIORITY_DISPATCH,2026-08-14T12:01:00,operations,vip_customer
INT-00417,O00933,DRIVER_REASSIGNMENT,2026-08-20T13:10:00,dispatch,driver_unavailable
INT-00418,O00335,PRIORITY_DISPATCH,2026-08-13T16:13:00,operations,late_risk
INT-00419,O00261,DRIVER_REASSIGNMENT,2026-08-18T22:45:00,dispatch,slow_progress
INT-00420,O01560,CUSTOMER_CREDIT,2026-08-10T17:24:47.737712,support,late_delivery
INT-00421,O01465,PRIORITY_DISPATCH,2026-08-01T22:43:00,operations,late_risk
INT-00422,O00483,RESTAURANT_CONTACT,2026-08-10T14:41:00,support,status_stale
INT-00423,O00281,DRIVER_REASSIGNMENT,2026-08-27T22:57:00,dispatch,slow_progress
INT-00424,O01016,PRIORITY_DISPATCH,2026-08-17T14:05:00,operations,manual_ops_review
INT-00425,O00358,RESTAURANT_CONTACT,2026-08-28T21:13:00,support,prep_delay
INT-00426,O00360,RESTAURANT_CONTACT,2026-08-05T13:24:00,support,prep_delay
INT-00427,O01352,RESTAURANT_CONTACT,2026-08-07T13:16:00,support,prep_delay
INT-00428,O01023,RESTAURANT_CONTACT,2026-08-04T19:45:00,support,customer_escalation
INT-00429,O00206,PRIORITY_DISPATCH,2026-08-24T15:33:00,operations,late_risk
INT-00430,O00549,DRIVER_REASSIGNMENT,2026-08-27T00:20:00,dispatch,driver_unavailable
